PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,JUMLAH_KELUARGA,JUMLAH_SASARAN,JUMLAH_KRS,PENERIMA_BAAS,PENERIMA_BANTUAN_PANGAN,JUMLAH_BALITA_STUNTING,TERLALU_TUA,TERLALU_MUDA,TERLALU_BANYAK,TERLALU_DEKAT,SANITASI,SUMBER_AIR_MINUM,CATIN_SASARAN,CATIN_TERDAMPINGI,CATIN_TIDAK_TERDAMPINGI,CATIN_BERESIKO,BUMIL_SASARAN,BUMIL_TERDAMPINGI,BUMIL_TIDAK_TERDAMPINGI,BUMIL_BERESIKO,PASCASALIN_SASARAN,PASCASALIN_TERDAMPINGI,PASCASALIN_TIDAK_TERDAMPINGI,PASCASALIN_BERESIKO,BADUTA_SASARAN,BADUTA_TERDAMPINGI,BADUTA_TIDAK_TERDAMPINGI,BADUTA_BERESIKO,BULAN
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,LIMBORO,31,70,40,20,5,5,0,3,18,7,23,10,0,0,0,0,25,7,18,0,10,9,1,0,33,0,33,12,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,LEMBANG LEMBANG,75,57,4,2,0,0,0,0,3,1,0,2,12,8,4,1,57,8,49,1,55,37,18,21,44,9,35,40,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,TANDASURA,32,70,48,3,3,0,0,7,39,2,42,1,2,0,2,0,52,48,4,4,15,13,2,8,57,5,52,19,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,SAMASUNDU,51,21,18,7,2,2,2,6,5,4,7,0,9,5,4,0,15,8,7,7,8,4,4,3,20,6,14,1,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,NAPO,83,40,24,5,1,0,0,15,1,0,24,0,11,7,4,7,37,9,28,6,16,0,16,0,29,26,3,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,TODANG TODANG,39,48,37,25,2,0,0,22,8,0,29,3,2,0,2,0,27,8,19,0,5,5,0,4,16,16,0,15,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,PENDULANGAN,44,46,40,23,10,5,2,35,0,1,0,16,4,2,2,0,10,8,2,1,10,9,1,3,25,22,3,20,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,RENGGEANG,39,41,20,17,8,1,1,8,11,0,19,1,2,2,0,2,41,19,22,1,31,6,25,5,4,4,0,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,SALARRI,59,11,2,0,0,0,0,2,0,0,0,0,9,8,1,2,11,11,0,7,5,2,3,1,3,1,2,1,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,TANGAN BARU,57,50,38,12,9,8,7,10,14,4,1,11,2,2,0,1,21,5,16,5,5,5,0,4,7,1,6,3,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LIMBORO,PALECE,56,45,37,22,20,17,14,1,9,7,23,3,4,0,4,0,19,14,5,3,1,0,1,0,1,1,0,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,BATUPANGA,62,48,16,1,1,1,1,8,0,5,3,1,12,11,1,8,42,22,20,14,4,4,0,0,17,15,2,8,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,MAMBU,40,25,21,17,6,1,1,4,11,3,17,1,1,1,0,1,25,21,4,7,9,1,8,1,12,3,9,5,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,TENGGELANG,88,37,9,1,1,1,1,2,4,1,9,0,13,9,4,9,20,5,15,5,17,8,9,6,1,1,0,1,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,BARU,36,10,1,0,0,0,0,0,0,0,1,0,6,0,6,0,10,6,4,4,10,1,9,1,6,2,4,3,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUSSUI,80,16,13,4,1,1,1,6,0,5,5,8,2,2,0,1,14,9,5,6,9,5,4,4,10,9,1,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,MAPILI BARAT,40,25,0,0,0,0,0,0,0,0,0,0,3,2,1,1,10,9,1,2,3,1,2,1,15,2,13,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,SAMBALI WALI,56,52,46,15,13,11,7,5,4,3,41,5,10,10,0,10,36,30,6,5,25,4,21,4,36,22,14,33,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,BATUPANGA DAALA,31,57,18,9,9,3,2,3,6,3,5,7,3,3,0,0,51,25,26,8,48,32,16,22,54,50,4,15,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,LUYO,87,65,65,14,7,7,4,12,3,29,10,14,8,6,2,3,44,35,9,31,16,8,8,6,11,4,7,6,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUSSUI BARAT,70,80,66,64,53,23,19,43,0,1,34,29,11,10,1,6,67,11,56,0,39,5,34,1,19,17,2,18,JUNI
SULAWESI BARAT,POLEWALI MANDAR,LUYO,PUCCADI,74,35,20,14,3,0,0,4,11,1,4,3,13,6,7,5,31,16,15,0,19,16,3,15,40,3,37,25,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,MAPILI,95,76,10,3,1,0,0,1,2,2,10,0,1,1,0,1,51,33,18,28,23,20,3,14,2,1,1,2,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,UGIBARU,56,59,39,21,11,0,0,27,10,0,23,14,9,0,9,0,48,35,13,35,37,8,29,3,78,68,10,54,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,RUMPA,34,39,10,0,0,0,0,7,3,0,0,9,6,1,5,0,29,21,8,18,0,0,0,0,0,0,0,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,KURMA,94,80,24,19,15,6,3,11,1,4,11,7,13,4,9,1,14,6,8,2,9,7,2,4,9,9,0,3,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BUKU,71,47,27,9,0,0,0,26,0,1,0,0,2,0,2,0,21,13,8,11,1,0,1,0,23,16,7,20,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BONNE BONNE,99,19,9,6,2,2,2,4,2,1,3,4,18,15,3,12,16,6,10,6,2,1,1,0,3,1,2,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BEROANGIN,80,39,33,30,0,0,0,32,1,0,14,6,0,0,0,0,13,12,1,10,6,3,3,1,30,28,2,29,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,SEGERANG,85,10,10,7,6,1,1,0,6,3,8,2,1,0,1,0,10,5,5,5,4,1,3,0,11,7,4,3,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,BONRA,69,18,7,1,1,0,0,3,3,0,7,0,12,3,9,0,10,5,5,4,9,9,0,1,21,19,2,16,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,SATTOKO,55,74,2,2,1,1,1,0,1,0,0,2,7,5,2,4,69,10,59,2,48,31,17,12,7,4,3,4,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,RAPPANG BARAT,53,51,8,1,0,0,0,1,6,0,3,3,0,0,0,0,43,22,21,9,1,1,0,0,10,2,8,8,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MAPILLI,LANDI KANUSUANG,53,33,0,0,0,0,0,0,0,0,0,0,2,2,0,0,18,13,5,1,11,2,9,1,21,7,14,11,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,MATAKALI,95,32,2,0,0,0,0,1,1,0,1,1,2,1,1,1,12,10,2,2,9,6,3,0,23,15,8,11,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,PETAMPANUA,78,27,18,5,2,1,0,18,0,0,12,2,0,0,0,0,18,8,10,3,3,1,2,1,8,5,3,4,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,BARUMBUNG,58,17,16,16,16,16,6,4,6,0,7,2,8,3,5,3,14,13,1,2,13,5,8,0,5,1,4,3,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,PASIANG,91,43,19,12,8,2,2,16,1,0,9,7,17,11,6,9,13,10,3,10,8,8,0,0,0,0,0,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,TONROLIMA,36,56,36,1,0,0,0,19,9,7,12,7,0,0,0,0,25,6,19,5,3,2,1,0,6,1,5,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,INDOMAKKOMBONG,60,61,51,26,20,19,17,9,12,6,35,0,6,6,0,2,41,23,18,13,20,9,11,7,14,0,14,1,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATAKALI,BUNGA-BUNGA,91,31,2,2,2,2,2,0,0,0,0,1,14,14,0,5,22,17,5,9,10,1,9,0,27,26,1,13,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,MATANGNGA,63,59,17,4,4,1,0,10,1,3,17,0,1,0,1,0,11,5,6,1,4,1,3,0,40,8,32,26,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,LILLI,30,48,19,0,0,0,0,3,15,0,17,1,6,4,2,2,43,23,20,21,33,13,20,6,21,6,15,20,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,RANGOAN,64,70,31,30,5,2,0,19,8,4,12,1,6,6,0,2,67,34,33,29,56,53,3,15,32,31,1,24,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,TAPUA,87,10,10,4,3,0,0,10,0,0,6,2,4,0,4,0,10,7,3,5,5,2,3,2,6,1,5,1,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,MAMBU TAPUA,84,59,8,4,2,2,0,3,3,2,4,1,16,7,9,2,36,23,13,18,19,9,10,5,14,5,9,2,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,BA'BA TAPUA,68,12,7,4,4,3,2,1,4,0,1,3,11,1,10,0,10,5,5,4,7,4,3,2,11,9,2,10,JUNI
SULAWESI BARAT,POLEWALI MANDAR,MATANGNGA,KATIMBANG,88,51,2,1,0,0,0,1,0,1,0,1,13,4,9,0,22,13,9,7,0,0,0,0,23,9,14,2,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,POLEWALI,32,40,23,23,18,13,10,11,0,0,18,5,3,3,0,1,31,23,8,7,28,23,5,4,4,1,3,1,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,WATTANG,41,40,27,8,6,3,3,22,1,1,19,1,0,0,0,0,21,19,2,9,19,11,8,3,36,1,35,13,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,SULEWATANG,86,72,43,31,9,1,0,18,2,18,42,0,7,1,6,0,53,35,18,2,41,28,13,12,71,48,23,69,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,LANTORA,91,34,23,19,0,0,0,14,0,3,7,12,14,14,0,13,17,7,10,7,17,7,10,2,31,9,22,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,TAKATIDUNG,58,75,60,11,2,1,1,30,17,11,19,34,0,0,0,0,13,6,7,3,3,3,0,0,52,15,37,40,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,PEKKABATA,95,46,10,4,4,4,3,4,0,0,8,0,11,7,4,1,21,7,14,2,17,6,11,6,17,0,17,2,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,MADATE,81,53,18,14,4,1,0,17,1,0,13,5,16,15,1,7,24,21,3,15,22,21,1,1,56,30,26,4,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,MANDING,63,44,27,25,21,13,4,20,1,0,26,1,10,9,1,2,32,20,12,10,4,2,2,2,0,0,0,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,POLEWALI,DARMA,32,36,9,7,4,2,1,3,2,0,1,4,3,0,3,0,10,10,0,4,2,1,1,1,6,5,1,5,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,PELITAKAN,41,70,57,26,21,12,7,41,9,0,39,18,2,2,0,2,41,8,33,5,37,27,10,23,7,1,6,4,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TAPANGO,36,13,0,0,0,0,0,0,0,0,0,0,4,0,4,0,12,10,2,3,10,2,8,0,8,2,6,7,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,RAPPANG,60,41,26,7,6,4,4,7,3,0,6,10,1,0,1,0,21,6,15,6,4,3,1,0,2,0,2,2,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,DAKKA,60,20,5,0,0,0,0,5,0,0,1,0,1,1,0,0,17,11,6,5,7,6,1,0,3,0,3,3,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BATU,70,25,25,2,1,1,0,25,0,0,5,3,4,0,4,0,13,6,7,4,9,0,9,0,19,14,5,17,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,RISO,92,46,33,7,0,0,0,28,1,3,15,9,5,1,4,1,15,5,10,0,13,2,11,2,26,8,18,8,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,PALATTA,68,55,0,0,0,0,0,0,0,0,0,0,3,0,3,0,48,38,10,38,25,10,15,9,4,4,0,1,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TAPANGO BARAT,37,23,14,9,9,7,2,4,0,7,8,6,4,2,2,0,11,8,3,6,11,0,11,0,25,1,24,22,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,KURRAK,56,45,7,0,0,0,0,0,4,3,4,3,5,0,5,0,36,31,5,5,26,22,4,18,14,5,9,4,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BUSSU,51,11,7,4,2,1,1,6,0,0,5,1,2,1,1,1,10,6,4,1,3,0,3,0,5,1,4,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,TUTTULA,34,49,2,2,0,0,0,0,0,1,1,0,2,1,1,0,25,6,19,4,12,12,0,9,45,44,1,45,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,JAMBU MALEA,32,33,25,14,5,5,5,10,3,1,7,7,5,2,3,0,28,5,23,0,10,3,7,2,21,15,6,4,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,KALIMBUA,72,78,70,42,6,1,0,23,35,11,55,0,11,0,11,0,31,28,3,16,21,11,10,7,0,0,0,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TAPANGO,BANATO REJO,39,49,47,36,10,4,4,2,6,26,32,11,1,1,0,1,44,22,22,16,35,3,32,0,32,8,24,4,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TINAMBUNG,31,12,5,4,1,0,0,3,1,1,3,1,4,1,3,1,12,7,5,2,1,0,1,0,8,7,1,6,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,KARAMA,51,73,39,15,0,0,0,35,4,0,32,6,2,0,2,0,16,13,3,3,0,0,0,0,15,11,4,11,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TANGNGA TANGNGA,90,74,47,0,0,0,0,34,4,5,13,1,7,2,5,0,20,20,0,6,6,1,5,0,2,1,1,2,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,LEKOPADIS,86,22,16,6,1,0,0,16,0,0,14,0,15,10,5,9,10,10,0,7,2,2,0,1,15,6,9,9,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,GALUNG LOMBOK,64,20,16,0,0,0,0,15,0,0,6,4,10,10,0,6,18,9,9,3,10,7,3,2,18,6,12,14,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,TANDUNG,41,32,16,0,0,0,0,9,2,1,0,13,5,0,5,0,10,5,5,4,2,2,0,1,22,17,5,20,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,BATULAYA,31,53,9,9,8,4,4,2,3,0,3,3,6,6,0,4,20,5,15,1,17,5,12,5,46,17,29,20,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TINAMBUNG,SEPABATU,59,66,27,25,15,13,9,15,1,0,25,0,2,1,1,1,63,52,11,49,48,10,38,7,85,65,20,58,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TARAMANU,97,70,7,5,0,0,0,1,2,0,7,0,6,4,2,1,45,39,6,32,14,0,14,0,24,22,2,11,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,AMBOPADANG,71,30,29,29,8,2,2,15,6,1,23,2,11,0,11,0,29,20,9,0,16,3,13,1,28,26,2,14,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TUBBI,39,74,69,48,45,15,2,56,1,4,66,0,2,2,0,1,11,5,6,1,1,0,1,0,12,7,5,8,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,RATTE,60,31,26,21,15,15,4,1,12,7,4,2,1,1,0,1,25,5,20,2,14,6,8,4,25,1,24,16,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,BESOANGIN,51,45,19,1,0,0,0,2,6,0,4,11,1,0,1,0,43,13,30,11,22,3,19,2,10,1,9,4,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PIRIANG TAPIKO,77,15,13,13,8,0,0,4,1,5,11,1,12,10,2,3,10,7,3,3,7,6,1,2,7,7,0,7,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PEBURRU,69,53,22,10,9,2,1,13,2,6,18,1,0,0,0,0,21,16,5,16,21,18,3,9,39,28,11,34,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TALOBA,61,18,3,0,0,0,0,1,0,1,0,0,5,4,1,1,18,12,6,12,1,1,0,0,10,1,9,1,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,POLLEWANI,93,52,31,14,5,3,1,25,0,2,30,0,0,0,0,0,17,8,9,8,9,9,0,8,13,2,11,13,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,ARABUA,65,48,14,0,0,0,0,4,1,6,10,3,1,0,1,0,12,7,5,4,0,0,0,0,31,20,11,23,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,BESOANGIN UTARA,100,67,31,27,10,7,5,23,3,0,22,7,16,15,1,3,16,11,5,9,0,0,0,0,19,10,9,12,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,PODA,39,55,31,27,16,10,2,10,10,9,29,1,2,1,1,1,41,14,27,14,41,15,26,5,59,21,38,11,JUNI
SULAWESI BARAT,POLEWALI MANDAR,TUTAR,TARAMANU TUA,77,56,30,0,0,0,0,21,6,1,22,0,0,0,0,0,21,21,0,2,1,0,1,0,6,5,1,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDODADI,71,47,10,9,7,6,5,1,0,2,6,0,8,7,1,3,47,26,21,19,19,5,14,2,14,14,0,2,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SIDOREJO,65,76,17,2,1,0,0,3,7,7,13,1,1,0,1,0,12,7,5,7,8,2,6,1,48,17,31,24,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SUMBEREJO,49,47,2,2,1,1,0,2,0,0,2,0,5,0,5,0,10,6,4,5,2,2,0,0,23,7,16,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BUMIAYU,45,52,34,12,7,3,1,28,1,1,10,0,7,0,7,0,52,27,25,14,11,11,0,6,31,2,29,7,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,KEBUNSARI,75,31,26,0,0,0,0,9,0,17,4,16,10,5,5,2,28,23,5,19,12,11,1,2,28,7,21,9,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BANUA BARU,71,23,14,1,1,0,0,8,6,0,10,2,7,5,2,0,17,10,7,7,16,11,5,11,31,2,29,31,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,NEPO,83,35,8,1,1,0,0,6,0,1,5,3,4,1,3,0,27,12,15,0,7,0,7,0,14,8,6,2,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,SUGIHWARAS,36,19,6,4,0,0,0,4,1,1,1,1,0,0,0,0,14,13,1,11,1,0,1,0,0,0,0,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,CAMPURJO,46,50,40,23,11,8,3,31,5,0,33,0,6,1,5,1,16,10,6,6,0,0,0,0,18,5,13,11,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BUMIMULYO,93,35,15,10,2,1,1,5,1,0,10,5,8,3,5,1,26,5,21,4,1,0,1,0,6,1,5,6,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,TUMPILING,39,40,38,26,14,10,2,28,4,0,24,11,7,2,5,2,28,27,1,19,16,0,16,0,36,7,29,7,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,BAKKA-BAKKA,65,75,60,22,8,2,2,34,1,3,55,3,4,4,0,2,69,13,56,7,17,16,1,10,10,1,9,7,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,ARJO SARI,73,57,7,4,2,0,0,6,1,0,6,1,11,3,8,0,47,18,29,14,9,4,5,3,40,8,32,0,JUNI
SULAWESI BARAT,POLEWALI MANDAR,WONOMULYO,GALESON,54,80,62,34,1,1,1,17,16,28,59,2,8,4,4,0,50,26,24,24,5,1,4,1,9,2,7,3,JUNI
SULAWESI BARAT,MAMUJU,MAMUJU,BINANGA,76,78,25,24,16,2,1,14,1,8,9,6,0,0,0,0,16,16,0,16,6,0,6,0,21,10,11,9,JUNI
SULAWESI BARAT,MAMUJU,MAMUJU,MAMUNYU,37,23,23,6,4,0,0,18,5,0,17,2,3,1,2,1,11,6,5,5,9,8,1,8,9,5,4,4,JUNI
SULAWESI BARAT,MAMUJU,MAMUJU,KAREMA,79,47,36,23,10,3,0,11,4,17,18,12,1,0,1,0,45,36,9,10,16,7,9,0,30,12,18,21,JUNI
SULAWESI BARAT,MAMUJU,MAMUJU,RIMUKU,32,46,24,12,2,1,0,12,0,1,17,6,0,0,0,0,40,8,32,2,17,14,3,11,8,7,1,4,JUNI
SULAWESI BARAT,MAMUJU,MAMUJU,BAMBU,69,62,55,28,15,9,2,38,9,5,31,14,13,6,7,2,28,19,9,7,24,24,0,10,51,34,17,33,JUNI
SULAWESI BARAT,MAMUJU,MAMUJU,KARAMPUANG,60,79,46,39,28,28,28,1,12,1,10,10,12,6,6,3,55,23,32,15,41,12,29,4,12,8,4,4,JUNI
SULAWESI BARAT,MAMUJU,MAMUJU,TADUI,53,73,20,11,7,0,0,15,5,0,11,9,10,8,2,0,68,15,53,12,61,37,24,32,42,41,1,9,JUNI
SULAWESI BARAT,MAMUJU,MAMUJU,BATU PANNU,71,28,1,0,0,0,0,1,0,0,1,0,3,2,1,2,23,18,5,1,1,1,0,1,1,1,0,0,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,GALUNG,74,63,11,6,0,0,0,6,5,0,10,1,11,11,0,4,55,11,44,10,43,32,11,25,52,48,4,5,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,KASAMBANG,73,25,19,18,11,6,4,7,3,1,12,7,11,6,5,1,23,16,7,14,9,2,7,1,11,2,9,3,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,DAYANGINNA,31,20,3,0,0,0,0,0,2,0,0,0,4,1,3,1,17,13,4,2,2,1,1,1,16,16,0,9,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,OROBATU,58,43,33,13,3,1,0,0,15,18,23,3,0,0,0,0,19,9,10,9,5,3,2,1,18,5,13,13,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,TAKANDEANG,55,74,12,6,4,4,4,0,1,0,4,1,7,2,5,0,67,60,7,14,20,19,1,3,55,52,3,7,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,BELA,67,51,18,13,0,0,0,2,1,12,11,0,12,12,0,10,50,40,10,36,30,30,0,27,24,20,4,16,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,TAAN,84,33,17,0,0,0,0,10,5,2,6,1,16,2,14,1,18,16,2,3,11,4,7,1,6,2,4,4,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,TAMPALANG,43,51,36,34,18,7,7,19,2,3,7,7,7,4,3,4,44,32,12,27,13,10,3,2,5,4,1,1,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,RANTEDODA,39,35,16,9,9,3,2,0,10,4,3,7,5,3,2,3,11,10,1,6,2,2,0,1,14,0,14,10,JUNI
SULAWESI BARAT,MAMUJU,TAPALANG,KOPEANG,49,80,62,34,20,2,2,24,20,10,40,10,7,4,3,1,41,6,35,0,24,6,18,3,46,27,19,0,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI,89,48,36,33,9,4,2,22,0,0,1,21,8,6,2,0,28,27,1,20,6,6,0,3,9,8,1,9,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,BEBANGA,75,73,29,0,0,0,0,23,3,3,10,11,6,3,3,1,11,9,2,1,1,1,0,1,19,19,0,7,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,KALUKKU,81,13,1,0,0,0,0,0,1,0,0,1,0,0,0,0,10,9,1,9,9,7,2,2,10,7,3,8,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,SINYONYOI SELATAN,85,75,2,0,0,0,0,0,0,2,2,0,7,5,2,0,55,55,0,47,5,2,3,1,33,25,8,22,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,SONDOANG,63,68,8,4,2,0,0,1,2,1,3,3,4,0,4,0,56,18,38,14,51,25,26,2,91,82,9,0,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,BERU-BERU,36,22,1,1,0,0,0,1,0,0,0,0,2,0,2,0,22,6,16,1,13,3,10,2,1,0,1,1,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,BELANG BELANG,100,57,4,1,1,1,0,4,0,0,2,1,18,10,8,4,26,14,12,5,20,14,6,6,58,0,58,10,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,KABULOANG,58,49,10,10,9,8,3,1,0,2,6,1,11,7,4,7,38,33,5,13,27,6,21,3,29,18,11,28,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,KEANG,64,78,36,0,0,0,0,3,7,25,15,7,1,0,1,0,69,30,39,30,32,26,6,10,37,28,9,28,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,POKKANG,58,74,38,11,6,3,0,32,0,6,16,5,2,2,0,1,42,25,17,19,37,6,31,4,40,1,39,4,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,GULILING,54,56,37,33,26,7,5,19,3,8,29,0,5,3,2,2,19,14,5,14,5,1,4,1,41,13,28,34,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,UHAIMATE,35,64,56,12,6,1,1,32,20,3,7,41,5,2,3,1,19,14,5,3,5,3,2,3,27,15,12,1,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,KALUKKU BARAT,75,77,38,22,17,2,1,4,10,13,22,13,14,8,6,8,71,56,15,33,53,16,37,14,59,4,55,31,JUNI
SULAWESI BARAT,MAMUJU,KALUKKU,PAMMULUKANG,65,28,23,22,20,0,0,16,6,1,6,3,7,0,7,0,14,9,5,3,3,3,0,1,17,7,10,3,JUNI
